2025-11-06 22:38:56.481 | INFO     | __main__:main:65 - Setting up the TradingHub and its agents.
2025-11-06 22:38:56.484 | INFO     | src.agents.spotter:__init__:39 - Spotter manipulator initialized for 1 instruments. Update frequency is 0.5s. Fair price is calculated with method: CROSSED_VWAP
2025-11-06 22:38:56.484 | INFO     | src.agents.spread_calculator:__init__:38 - SpreadCalculator agent initialized for 1 instruments. Window size: 100, Min data: 20
2025-11-06 22:38:56.484 | INFO     | src.agents.delta_hedger:__init__:33 - DeltaHedger agent initialized. Poll interval: 30.0s
2025-11-06 22:38:56.484 | INFO     | src.core.trading_hub:add_agent:43 - Added agent: Spotter
2025-11-06 22:38:56.485 | INFO     | src.core.trading_hub:add_agent:43 - Added agent: SpreadCalculator
2025-11-06 22:38:56.485 | INFO     | src.core.trading_hub:add_agent:43 - Added agent: DeltaHedger
2025-11-06 22:38:56.485 | INFO     | src.core.trading_hub:start:77 - TradingHub starting. Subscribing to quotes for: ['AAPL']
2025-11-06 22:38:56.485 | INFO     | __main__:trading_logic:21 - Trading logic started. Waiting for initial data from agents...
2025-11-06 22:39:01.486 | WARNING  | __main__:trading_logic:33 - Waiting for data to be populated in cache...
2025-11-07 20:10:01.999 | INFO     | __main__:main:65 - Setting up the TradingHub and its agents.
2025-11-07 20:10:02.005 | INFO     | src.agents.spotter:__init__:39 - Spotter manipulator initialized for 1 instruments. Update frequency is 0.5s. Fair price is calculated with method: CROSSED_VWAP
2025-11-07 20:10:02.006 | INFO     | src.agents.spread_calculator:__init__:38 - SpreadCalculator agent initialized for 1 instruments. Window size: 100, Min data: 20
2025-11-07 20:10:02.006 | INFO     | src.agents.delta_hedger:__init__:33 - DeltaHedger agent initialized. Poll interval: 30.0s
2025-11-07 20:10:02.007 | INFO     | src.core.trading_hub:add_agent:43 - Added agent: Spotter
2025-11-07 20:10:02.007 | INFO     | src.core.trading_hub:add_agent:43 - Added agent: SpreadCalculator
2025-11-07 20:10:02.007 | INFO     | src.core.trading_hub:add_agent:43 - Added agent: DeltaHedger
2025-11-07 20:10:02.008 | INFO     | src.core.trading_hub:start:77 - TradingHub starting. Subscribing to quotes for: ['AAPL']
2025-11-07 20:10:02.008 | INFO     | __main__:trading_logic:21 - Trading logic started. Waiting for initial data from agents...
2025-11-07 20:10:03.031 | DEBUG    | src.agents.spotter:start:91 - [AAPL] Processed quote at 2025-11-07T19:10:03.031726 | Fair Price: 267.7250
2025-11-07 20:10:03.032 | DEBUG    | src.agents.delta_hedger:start:57 - DeltaHedger running hedging logic...
2025-11-07 20:10:03.561 | DEBUG    | src.agents.spotter:start:91 - [AAPL] Processed quote at 2025-11-07T19:10:03.561689 | Fair Price: 267.7200
2025-11-07 20:10:04.691 | DEBUG    | src.agents.spotter:start:91 - [AAPL] Processed quote at 2025-11-07T19:10:04.691622 | Fair Price: 267.7100
2025-11-07 20:10:05.769 | DEBUG    | src.agents.spotter:start:91 - [AAPL] Processed quote at 2025-11-07T19:10:05.769635 | Fair Price: 267.7200
2025-11-07 20:10:06.022 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.022506 | Avg Spread: 0.0960 (from 20 values)
2025-11-07 20:10:06.030 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.030426 | Avg Spread: 0.0924 (from 21 values)
2025-11-07 20:10:06.031 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.031308 | Avg Spread: 0.0891 (from 22 values)
2025-11-07 20:10:06.032 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.032046 | Avg Spread: 0.0861 (from 23 values)
2025-11-07 20:10:06.034 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.034528 | Avg Spread: 0.1013 (from 24 values)
2025-11-07 20:10:06.035 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.035411 | Avg Spread: 0.1156 (from 25 values)
2025-11-07 20:10:06.036 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.036137 | Avg Spread: 0.1288 (from 26 values)
2025-11-07 20:10:06.037 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.036911 | Avg Spread: 0.1252 (from 27 values)
2025-11-07 20:10:06.037 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.037621 | Avg Spread: 0.1371 (from 28 values)
2025-11-07 20:10:06.041 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.041103 | Avg Spread: 0.1479 (from 29 values)
2025-11-07 20:10:06.042 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.042136 | Avg Spread: 0.1580 (from 30 values)
2025-11-07 20:10:06.049 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.049722 | Avg Spread: 0.1539 (from 31 values)
2025-11-07 20:10:06.060 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.060472 | Avg Spread: 0.1497 (from 32 values)
2025-11-07 20:10:06.061 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.061343 | Avg Spread: 0.1458 (from 33 values)
2025-11-07 20:10:06.062 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.062461 | Avg Spread: 0.1424 (from 34 values)
2025-11-07 20:10:06.063 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.063274 | Avg Spread: 0.1391 (from 35 values)
2025-11-07 20:10:06.064 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.064204 | Avg Spread: 0.1358 (from 36 values)
2025-11-07 20:10:06.065 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.065038 | Avg Spread: 0.1330 (from 37 values)
2025-11-07 20:10:06.066 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.066280 | Avg Spread: 0.1411 (from 38 values)
2025-11-07 20:10:06.066 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.066808 | Avg Spread: 0.1385 (from 39 values)
2025-11-07 20:10:06.067 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.067298 | Avg Spread: 0.1360 (from 40 values)
2025-11-07 20:10:06.068 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.067927 | Avg Spread: 0.1337 (from 41 values)
2025-11-07 20:10:06.068 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.068542 | Avg Spread: 0.1317 (from 42 values)
2025-11-07 20:10:06.069 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.069365 | Avg Spread: 0.1298 (from 43 values)
2025-11-07 20:10:06.103 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.103473 | Avg Spread: 0.1277 (from 44 values)
2025-11-07 20:10:06.104 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.104538 | Avg Spread: 0.1258 (from 45 values)
2025-11-07 20:10:06.105 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.105465 | Avg Spread: 0.1237 (from 46 values)
2025-11-07 20:10:06.106 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.106503 | Avg Spread: 0.1217 (from 47 values)
2025-11-07 20:10:06.107 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.107699 | Avg Spread: 0.1198 (from 48 values)
2025-11-07 20:10:06.108 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.108677 | Avg Spread: 0.1178 (from 49 values)
2025-11-07 20:10:06.109 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.109445 | Avg Spread: 0.1156 (from 50 values)
2025-11-07 20:10:06.110 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.110141 | Avg Spread: 0.1137 (from 51 values)
2025-11-07 20:10:06.110 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.110627 | Avg Spread: 0.1121 (from 52 values)
2025-11-07 20:10:06.111 | DEBUG    | src.agents.spread_calculator:start:80 - [AAPL] Processed quote at 2025-11-07T19:10:06.111104 | Avg Spread: 0.1106 (from 53 values)
